SchoolName,Latitude,Longitude,City,CommunitySchool,EconomicNeedIndex,SchoolIncomeEstimate,PercentELL,PercentAsian,PercentBlack,PercentHispanic,PercentBlackHispanic,PercentWhite,StudentAttendanceRate,PercentofStudentsChronicallyAbsent,RigorousInstruction,CollaborativeTeachers,SupportiveEnvironment,EffectiveSchoolLeadership,StrongFamilyCommunityTies,Trust,AverageELAProficiency,Grade3ELAAllStudentsTested,Grade3ELA4sAllStudents,Grade3ELA4sAmericanIndianorAlaskaNative,Grade3ELA4sBlackorAfricanAmerican,Grade3ELA4sHispanicorLatino,Grade3ELA4sAsianorPacificIslander,Grade3ELA4sWhite,Grade3ELA4sMultiracial,Grade3ELA4sLimitedEnglishProficient,Grade3ELA4sEconomicallyDisadvantaged,Grade3MathAllStudentstested,Grade3Math4sAllStudents,Grade3Math4sAmericanIndianorAlaskaNative,Grade3Math4sBlackorAfricanAmerican,Grade3Math4sHispanicorLatino,Grade3Math4sAsianorPacificIslander,Grade3Math4sWhite,Grade3Math4sMultiracial,Grade3Math4sLimitedEnglishProficient,Grade3Math4sEconomicallyDisadvantaged,Grade4ELAAllStudentsTested,Grade4ELA4sAllStudents,Grade4ELA4sAmericanIndianorAlaskaNative,Grade4ELA4sBlackorAfricanAmerican,Grade4ELA4sHispanicorLatino,Grade4ELA4sAsianorPacificIslander,Grade4ELA4sWhite,Grade4ELA4sMultiracial,Grade4ELA4sLimitedEnglishProficient,Grade4ELA4sEconomicallyDisadvantaged,Grade4MathAllStudentsTested,Grade4Math4sAllStudents,Grade4Math4sAmericanIndianorAlaskaNative,Grade4Math4sBlackorAfricanAmerican,Grade4Math4sHispanicorLatino,Grade4Math4sAsianorPacificIslander,Grade4Math4sWhite,Grade4Math4sMultiracial,Grade4Math4sLimitedEnglishProficient,Grade4Math4sEconomicallyDisadvantaged,Grade5ELAAllStudentsTested,Grade5ELA4sAllStudents,Grade5ELA4sAmericanIndianorAlaskaNative,Grade5ELA4sBlackorAfricanAmerican,Grade5ELA4sHispanicorLatino,Grade5ELA4sAsianorPacificIslander,Grade5ELA4sWhite,Grade5ELA4sMultiracial,Grade5ELA4sLimitedEnglishProficient,Grade5ELA4sEconomicallyDisadvantaged,Grade5MathAllStudentsTested,Grade5Math4sAllStudents,Grade5Math4sAmericanIndianorAlaskaNative,Grade5Math4sBlackorAfricanAmerican,Grade5Math4sHispanicorLatino,Grade5Math4sAsianorPacificIslander,Grade5Math4sWhite,Grade5Math4sMultiracial,Grade5Math4sLimitedEnglishProficient,Grade5Math4sEconomicallyDisadvantaged,Grade6ELAAllStudentsTested,Grade6ELA4sAllStudents,Grade6ELA4sAmericanIndianorAlaskaNative,Grade6ELA4sBlackorAfricanAmerican,Grade6ELA4sHispanicorLatino,Grade6ELA4sAsianorPacificIslander,Grade6ELA4sWhite,Grade6ELA4sMultiracial,Grade6ELA4sLimitedEnglishProficient,Grade6ELA4sEconomicallyDisadvantaged,Grade6MathAllStudentsTested,Grade6Math4sAllStudents,Grade6Math4sAmericanIndianorAlaskaNative,Grade6Math4sBlackorAfricanAmerican,Grade6Math4sHispanicorLatino,Grade6Math4sAsianorPacificIslander,Grade6Math4sWhite,Grade6Math4sMultiracial,Grade6Math4sLimitedEnglishProficient,Grade6Math4sEconomicallyDisadvantaged,Grade7ELAAllStudentsTested,Grade7ELA4sAllStudents,Grade7ELA4sAmericanIndianorAlaskaNative,Grade7ELA4sBlackorAfricanAmerican,Grade7ELA4sHispanicorLatino,Grade7ELA4sAsianorPacificIslander,Grade7ELA4sWhite,Grade7ELA4sMultiracial,Grade7ELA4sLimitedEnglishProficient,Grade7ELA4sEconomicallyDisadvantaged,Grade7MathAllStudentsTested,Grade7Math4sAllStudents,Grade7Math4sAmericanIndianorAlaskaNative,Grade7Math4sBlackorAfricanAmerican,Grade7Math4sHispanicorLatino,Grade7Math4sAsianorPacificIslander,Grade7Math4sWhite,Grade7Math4sMultiracial,Grade7Math4sLimitedEnglishProficient,Grade7Math4sEconomicallyDisadvantaged,Grade8ELAAllStudentsTested,Grade8ELA4sAllStudents,Grade8ELA4sAmericanIndianorAlaskaNative,Grade8ELA4sBlackorAfricanAmerican,Grade8ELA4sHispanicorLatino,Grade8ELA4sAsianorPacificIslander,Grade8ELA4sWhite,Grade8ELA4sMultiracial,Grade8ELA4sLimitedEnglishProficient,Grade8ELA4sEconomicallyDisadvantaged,Grade8MathAllStudentsTested,Grade8Math4sAllStudents,Grade8Math4sAmericanIndianorAlaskaNative,Grade8Math4sBlackorAfricanAmerican,Grade8Math4sHispanicorLatino,Grade8Math4sAsianorPacificIslander,Grade8Math4sWhite,Grade8Math4sMultiracial,Grade8Math4sLimitedEnglishProficient,Grade8Math4sEconomicallyDisadvantaged
P.S. 015 ROBERTO CLEMENTE,40.721834,-73.978766,NEW YORK,Yes,0.919,311.4172,0.09,0.05,0.32,0.6,0.92,0.01,0.94,0.18,0.89,0.94,0.86,0.91,0.85,0.94,2.14,20,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 019 ASHER LEVY,40.729892,-73.984231,NEW YORK,No,0.641,564.6288,0.05,0.1,0.2,0.63,0.83,0.06,0.92,0.3,0.96,0.96,0.97,0.9,0.86,0.94,2.63,33,2,0,1,1,0,0,0,0,0,33,6,0,2,1,0,0,0,0,4,29,5,0,0,3,0,0,0,0,3,28,10,0,0,6,0,0,0,0,8,32,7,0,3,1,2,0,0,0,6,32,4,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 020 ANNA SILVER,40.721274,-73.986315,NEW YORK,No,0.744,443.4261,0.15,0.35,0.08,0.49,0.57,0.04,0.94,0.2,0.87,0.77,0.82,0.61,0.8,0.79,2.39,76,6,0,0,0,4,0,0,0,2,76,11,0,0,3,7,0,0,0,6,70,9,0,0,1,6,2,0,0,1,71,13,0,0,0,11,2,0,0,4,73,2,0,0,1,1,0,0,0,0,73,10,0,0,1,9,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 034 FRANKLIN D. ROOSEVELT,40.726147,-73.975043,NEW YORK,No,0.86,314.54,0.07,0.05,0.29,0.63,0.92,0.04,0.92,0.28,0.85,0.78,0.82,0.73,0.89,0.88,2.48,27,0,0,0,0,0,0,0,0,0,29,4,0,0,2,0,0,0,0,0,35,1,0,0,1,0,0,0,0,0,34,1,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,1,0,0,1,0,0,0,0,0,54,3,0,0,1,0,0,0,0,3,54,3,0,0,0,0,0,0,0,3,55,4,0,0,3,0,0,0,0,0,55,3,0,0,3,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,0
THE STAR ACADEMY - P.S.63,40.724404,-73.98636,NEW YORK,No,0.73,464.3559,0.03,0.04,0.2,0.65,0.84,0.1,0.93,0.23,0.9,0.88,0.87,0.81,0.89,0.93,2.38,21,2,0,0,2,0,0,0,0,0,21,5,0,0,2,0,0,0,0,2,15,2,0,1,0,0,0,0,0,0,15,3,0,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 064 ROBERT SIMON,40.723747,-73.981602,NEW YORK,No,0.858,394.1545,0.06,0.07,0.19,0.66,0.84,0.07,0.92,0.33,0.93,0.99,0.95,0.91,0.88,0.97,2.29,29,1,0,0,0,0,0,0,0,0,31,4,0,0,1,0,0,0,0,0,40,2,0,0,2,0,0,0,0,2,40,4,0,0,1,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,44,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 110 FLORENCE NIGHTINGALE,40.715293,-73.979927,NEW YORK,No,0.499,437.0673,0.01,0.16,0.1,0.43,0.53,0.27,0.95,0.13,0.88,0.78,0.95,0.69,0.87,0.78,2.8,81,12,0,1,1,3,7,0,0,6,81,37,0,0,11,12,10,0,0,20,49,15,0,0,4,0,9,0,0,4,49,23,0,0,6,0,12,0,0,6,65,16,0,1,5,0,6,0,0,4,65,18,0,1,5,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 134 HENRIETTA SZOLD,40.714301,-73.982966,NEW YORK,No,0.833,288.2067,0.12,0.21,0.2,0.55,0.75,0.03,0.91,0.36,0.87,0.89,0.88,0.88,0.79,0.94,2.28,35,0,0,0,0,0,0,0,0,0,36,6,0,0,1,4,0,0,1,0,43,3,0,0,1,2,0,0,0,0,43,6,0,0,0,6,0,0,0,0,34,5,0,0,5,0,0,0,0,0,34,7,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 140 NATHAN STRAUS,40.719128,-73.983283,NEW YORK,No,0.849,348.8924,0.14,0.05,0.13,0.78,0.9,0.03,0.93,0.27,0.94,0.91,0.85,0.87,0.83,0.93,2.21,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,32,1,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,56,5,0,1,2,0,0,0,0,3,47,2,0,0,2,0,0,0,0,0,46,1,0,0,0,1,0,0,0,1,61,3,0,0,1,0,0,0,0,1,61,2,0,0,1,0,0,0,0,1
P.S. 142 AMALIA CASTRO,40.71823,-73.984082,NEW YORK,No,0.861,355.451,0.08,0.06,0.11,0.78,0.9,0.02,0.92,0.27,0.92,0.89,0.9,0.83,0.89,0.95,2.16,40,1,0,0,1,0,0,0,0,0,38,1,0,0,1,0,0,0,0,0,58,4,0,0,3,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,46,1,0,0,1,0,0,0,0,0,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
